Funds,FundManager,Category,RupeeVestRating,AUM,ExpenseRatio,FundType,InceptionDate,BenchmarkIndex, NAV , 52WeekHigh, 52WeekLow,Return1mo,Return3mo,Return6mo,Return1yr,Return2yrs,Return3yrs,Return5yrs,Return10yrs,TurnoverRatio, NoofStocks,AvgMarketCap,LargeCap,MidCap,SmallCap,HighestSector,AvgMaturity,ModDuration,YieldToMaturity,Alpha,Sharpe,Sortino,Beta,StandardDeviation,classification,ExitloadRemarks
Shriram Long Term Equity Fund-Reg(G),Kartik Soral,EQ-ELSS,Unrated,36.6,2.55,Open Ended,25-Jan-19,NIFTY 500 - TRI,12.98,13.67,8.98,-3.3,-3.04,14.14,40.92,10.47,-,-,-,266.2,58,83284,71.75,15.88,3.81,Financials,-,-,-,-1.34,2.21,3.53,0.77,16.77,Equity : Tax Saving (ELSS),Nil
Sundaram Arbitrage Fund-Reg(G),S. Bharath,HY-ARB,Unrated,47.9,0.93,Open Ended,4-Feb-20,Nifty 50 Arbitrage Index,10.44,10.45,10.09,0.64,1.13,1.89,3.49,-,-,-,-,1517,14,83415,33.53,35.96,-,Financials,-,-,0.67,0.53,0.28,0.44,-,1.46,Hybrid : Arbitrage,Nil upto 25% of units and 0.25% for remaining units on or before 15D Nil after 15D
Sundaram Balanced Advantage Fund-Reg(G),S. Bharath,HY-DYN,Unrated,889,2.4,Open Ended,6-Mar-20,CRISIL Hybrid 50+50 - Moderate Index,13.04,13.37,10,-1.9,0.22,11.83,29.96,-,-,-,-,392,61,135863,56.09,9.35,3.5,Financials,1.92,1.73,4.93,25.63,2.91,4.64,-,8.86,Hybrid : Dynamic Asset Allocation,Nil upto 25% of units and 1% for remaining units on or before 1Y Nil after 1Y
Sundaram Banking & PSU Debt Fund(G),Dwijendra Srivastava,DT-B&PSU,2,937.2,0.4,Open Ended,30-Dec-04,CRISIL Banking and PSU Debt Index,33.94,33.94,31.79,0.33,0.73,1.74,6.87,7.67,7.52,7.21,8.16,0,-,-,-,-,-,-,0.35,0.34,3.58,3.93,5.18,13.1,-,0.76,Debt : Banking & PSU,Nil
Sundaram Bluechip Fund-Reg(G),Rahul Baijal,EQ-LC,Unrated,982.5,2.29,Open Ended,8-Oct-20,NIFTY 100 - TRI,12.12,12.77,9.89,-3.13,-0.23,21.25,-,-,-,-,-,65,49,234863,85.78,8.36,0.88,Financials,-,-,-,-,-,-,-,-,Equity : Large Cap,Nil upto 25% of units and 1% for remaining units on or before 1Y Nil after 1Y
Sundaram Corp Bond Fund(G),Dwijendra Srivastava,DT-CORP,4,1031.3,0.54,Open Ended,30-Dec-04,CRISIL AAA Medium Term Bond Index,31.36,31.37,28.64,0.94,0.61,2.14,9.71,9.77,8.7,8.21,7.97,0,-,-,-,-,-,-,2.08,1.84,4.94,6.65,3.89,6.95,-,1.73,Debt : Corporate Bond,Nil
Sundaram CPO-5Yrs-S7(G),Rahul Baijal,HY-DT(CO),Unrated,107.3,-,Closed Ended,8-Mar-16,CRISIL Hybrid 85+15 - Conservative Index,14.28,14.28,12.87,0.15,1.18,4.18,6.87,7.25,6.85,7.37,-,0,11,-,-,-,-,-,0.85,0.82,-,3.7,0.65,0.91,-,5.9,Hybrid : Debt Oriented (Conservative),null
Sundaram CPO-5Yrs-S8(G),Rahul Baijal,HY-DT(CO),Unrated,96.1,-,Closed Ended,6-Apr-16,CRISIL Hybrid 85+15 - Conservative Index,14.1,14.1,12.68,0.19,0.78,3.46,13.05,6.35,6.57,7.11,-,0,11,-,-,-,-,-,0.89,0.86,-,9.8,2.78,4.85,-,3.57,Hybrid : Debt Oriented (Conservative),null
Sundaram Debt Oriented Hybrid Fund(G),Rahul Baijal,HY-DT(CO),Unrated,33.4,2.18,Open Ended,8-Mar-10,CRISIL Hybrid 85+15 - Conservative Index,20.96,21.21,18.3,-0.73,0.14,5.31,14.15,3.49,3.12,5.84,7.2,0,22,227873,18.5,0.86,0.7,Financials,2.32,1.83,4.56,12.2,2.72,4.68,-,4.54,Hybrid : Debt Oriented (Conservative),Nil
Sundaram Diversified Equity(G),S. Bharath,EQ-ELSS,2,2304.2,2.12,Open Ended,2-May-05,S&P BSE 200 - TRI,119.38,125.99,72.4,-3.92,1.1,24.48,60.11,7.65,4.82,10.72,10.44,50,50,136413,71.17,19.41,9.16,Financials,-,-,-,8.24,2.74,4.35,0.85,18.57,Equity : Tax Saving (ELSS),Nil
Sundaram Emerging Small Cap-Sr-I-Reg(G),Rohit Seksaria,EQ-SML,Unrated,197.2,1.38,Closed Ended,9-Mar-18,S&P BSE Small-Cap,10.52,10.96,5.55,-2.95,9.24,40.84,82.66,9.67,1.17,-,-,43,72,4503,-,15.64,80.82,Capital Goods,-,-,-,33.82,3.46,5.73,0.63,18.9,Equity : Small Cap,null
Sundaram Emerging Small Cap-Sr-II-Reg(G),Rohit Seksaria,EQ-SML,Unrated,213.9,1.35,Closed Ended,9-Apr-18,S&P BSE 250 Small Cap,10.81,11.26,5.72,-3.05,8.95,40.79,84.21,9.65,2.42,-,-,45,72,4461,-,15.71,79.93,Capital Goods,-,-,-,34.47,3.49,5.77,0.63,18.98,Equity : Small Cap,null
Sundaram Emerging Small Cap-Sr-III-Reg(G),Rohit Seksaria,EQ-SML,Unrated,188.9,1.35,Closed Ended,11-May-18,S&P BSE 250 Small Cap,11.88,12.35,6.17,-3.09,9.18,41.13,88.36,10.87,-,-,-,48,72,4418,-,16.35,78.64,Capital Goods,-,-,-,37.07,3.63,6.08,0.62,18.83,Equity : Small Cap,null
Sundaram Emerging Small Cap-Sr-IV-Reg(G),Rohit Seksaria,EQ-SML,Unrated,135.7,1.35,Closed Ended,11-Jun-18,S&P BSE 250 Small Cap,12.22,12.73,6.51,-3.25,8.58,39.32,84.86,10.88,-,-,-,48,74,4335,-,15.97,79.8,Capital Goods,-,-,-,35.51,3.58,5.98,0.62,18.58,Equity : Small Cap,null
Sundaram Emerging Small Cap-Sr-V-Reg(G),Rohit Seksaria,EQ-SML,Unrated,50.6,1.34,Closed Ended,14-Aug-18,S&P BSE 250 Small Cap,12.3,12.84,6.6,-3.32,8.23,38.8,84.79,9.72,-,-,-,48,74,4272,-,16.04,79.46,Capital Goods,-,-,-,35.53,3.56,5.94,0.62,18.66,Equity : Small Cap,null
Sundaram Emerging Small Cap-Sr-VI-Reg(G),Rohit Seksaria,EQ-SML,Unrated,27,1.32,Closed Ended,7-Sep-18,S&P BSE 250 Small Cap,14.04,14.61,7.49,-3.01,8.87,39.48,84.76,12.02,-,-,-,51,72,4495,-,16.17,78.79,Capital Goods,-,-,-,35.68,3.61,6.03,0.61,18.31,Equity : Small Cap,null
Sundaram Emerging Small Cap-Sr-VII-Reg(G),Rohit Seksaria,EQ-SML,Unrated,98.1,1.38,Closed Ended,28-Sep-18,S&P BSE 250 Small Cap,14.49,15.14,8.4,-2.73,5.96,36.45,69.77,15.98,-,-,-,39,60,6194,3.34,24.59,68.44,Capital Goods,-,-,-,29.56,3.38,5.62,0.55,16.93,Equity : Small Cap,null
Sundaram Equity Fund-Reg(G),S. Bharath,EQ-MLC,Unrated,666.7,2.49,Open Ended,6-Sep-19,NIFTY 500 Multicap 50:25:25 TRI,13.03,13.7,7.94,-3.79,2.94,23.89,58.92,-,-,-,-,114,65,49421,45.56,26.49,27.17,Financials,-,-,-,10.76,2.84,4.54,0.82,18.15,Equity : Multi Cap,Nil upto 25% of units and 1% for remaining units of or before 365D Nil after 365D
Sundaram Equity Hybrid Fund(G),Rahul Baijal,HY-EQ,4,1667.4,2.27,Open Ended,15-Jun-00,CRISIL Hybrid 35+65 - Aggressive Index,110.62,115.41,78.91,-3.51,-0.24,17.56,38.98,10.43,9.33,12.32,8.24,0,52,121347,53.83,12.84,8.15,Financials,1.65,1.19,4.77,34.98,2.71,4.42,-,13.03,Hybrid : Equity Oriented,Nil upto 25% of units and 1% for remaining units of or before 365D Nil after 365D
Sundaram Equity Savings Fund-Reg(G),S. Bharath,HY-EQ,Unrated,100.5,2.21,Open Ended,7-Dec-18,NIFTY 50 Equity Savings Index,11.72,11.98,9.82,-1.29,-0.52,6.79,19.4,6.41,-,-,-,0,37,249627,65.13,6.75,-,Financials,1.26,1.16,4.26,16.68,2.42,3.93,-,6.97,Hybrid : Equity Oriented,Nil upto 25% of units and 1% for more than 25 units on or before 1Y Nil after 1Y
Sundaram Fin Serv Opp Fund(G),Rahul Baijal,EQ-FIN,5,328.3,2.59,Open Ended,10-Jun-08,Nifty Financial Services - TRI,50.96,58.04,29.05,-8.04,-1.82,32.55,60.34,9.81,9.93,14.76,9.12,21,25,192682,78.39,11.14,6.18,Financials,-,-,-,-11.64,1.8,3.08,1.32,30.15,Equity : Sectoral - Financial Services,Nil upto 25% of units and 1% for remaining units of or before 365D Nil after 365D
Sundaram FTP-IC-1206D-Reg(G),Sandeep Agarwal,DT-FMP,Unrated,136.2,-,Closed Ended,9-Jan-18,Crisil Composite Bond Fund Index,12.64,12.64,11.9,0.28,0.81,1.79,6.34,7.53,7.53,-,-,0,-,-,-,-,-,-,1.16,1.11,-,3.48,6.32,16.86,-,0.55,Debt : FTP/FMP,null
Sundaram FTP-IE-1200D-Reg(G),Sandeep Agarwal,DT-FMP,Unrated,94.3,-,Closed Ended,15-Feb-18,Crisil Composite Bond Fund Index,12.69,12.69,11.71,0.51,1.63,3.56,8.36,8.39,7.63,-,-,0,-,-,-,-,-,-,1.17,1.12,-,5.37,5.79,8.87,-,0.93,Debt : FTP/FMP,null
Sundaram FTP-IJ-1099D-Reg(G),Sandeep Agarwal,DT-FMP,Unrated,131.6,-,Closed Ended,26-Jun-18,Crisil Short Term Bond Fund Index,12.55,12.55,11.74,0.33,0.91,1.99,7.06,7.9,-,-,-,0,-,-,-,-,-,-,1.34,1.3,-,4.18,7.18,19.19,-,0.58,Debt : FTP/FMP,null
Sundaram FTP-IK-1098D-Reg(G),Sandeep Agarwal,DT-FMP,Unrated,101.2,-,Closed Ended,12-Jul-18,Crisil Short Term Bond Fund Index,12.5,12.5,11.7,0.35,0.88,1.94,7,7.88,-,-,-,0,-,-,-,-,-,-,1.37,1.31,-,4.13,6.71,20.09,-,0.62,Debt : FTP/FMP,null
Sundaram FTP-IS-1120D-Reg(G),Sandeep Agarwal,DT-FMP,Unrated,79.2,-,Closed Ended,19-Mar-19,CRISIL Medium Term Debt Index,12.05,12.05,11.01,0.68,0.94,2.36,9.71,9.38,-,-,-,0,-,-,-,-,-,-,2.1,1.95,-,6.6,5.49,10.88,-,1.21,Debt : FTP/FMP,null
Sundaram Infra Advantage Fund(G),Ratish Varier,EQ-INFRA,3,551.3,2.59,Open Ended,29-Sep-05,S&P BSE 100 - TRI,39.23,41.19,22.06,-4.42,7.93,38.58,75.03,8.4,3.06,10.72,5.34,29,37,30679,34.79,25.45,38.24,Capital Goods,-,-,-,21.7,3.07,5.1,0.78,19.86,Equity : Sectoral - Infrastructure,Nil upto 25% of units and 1% for remaining units of or before 365D Nil after 365D
Sundaram Large and Mid Cap Fund(G),Rahul Baijal,EQ-L&M,3,1479.8,2.23,Open Ended,27-Feb-07,Nifty LargeMidcap 250 Index - TRI,42.88,45.56,26.1,-4.84,3.24,24.96,58.38,10.82,9.06,14.48,11.54,102,45,85017,52.54,39.36,4.24,Financials,-,-,-,11.37,2.83,4.55,0.78,17.86,Equity : Large & Mid Cap,Nil upto 25% of units and 1% for remaining units of or before 365D Nil after 365D
Sundaram Low Duration Fund-Reg(G),Dwijendra Srivastava,DT-LOWD,2,389.9,1.02,Open Ended,23-Apr-07,CRISIL Low Duration Debt Index,26,26,24.68,0.39,0.72,1.59,5.42,0.95,3.02,4.59,6.92,0,-,-,-,-,-,-,0.62,0.54,3.9,2.6,4.37,9.07,-,0.6,Debt : Low Duration,Nil
Sundaram LT Micro Cap Tax Adv Fund-Sr III-Reg(G),Rohit Seksaria,EQ-ELSS,Unrated,73.2,1.43,Closed Ended,18-Nov-16,Nifty Smallcap 100,12.05,12.58,6.48,-2.91,6.64,37.34,82.2,5.11,-3.69,-,-,32,63,3307,-,6.29,92.35,Capital Goods,-,-,-,33.84,3.39,5.6,0.63,19.27,Equity : Tax Saving (ELSS),null
Sundaram LT Micro Cap Tax Adv Fund-Sr IV-Reg(G),Rohit Seksaria,EQ-ELSS,Unrated,35.6,1.43,Closed Ended,24-Mar-17,Nifty Smallcap 100,10.41,10.87,5.47,-2.37,7.9,39.18,84.71,6.11,-3.26,-,-,34,63,3387,-,6.47,92.39,Capital Goods,-,-,-,34.93,3.45,5.63,0.65,19.5,Equity : Tax Saving (ELSS),null
Sundaram LT Micro Cap Tax Adv Fund-Sr V-Reg(G),Rohit Seksaria,EQ-ELSS,Unrated,37.1,1.39,Closed Ended,5-Jul-17,Nifty Smallcap 100,10.26,10.7,5.33,-2.02,8.72,40.43,88.07,6.6,-2.45,-,-,42,67,3663,-,10.07,88.63,Capital Goods,-,-,-,37.07,3.6,5.92,0.63,19.14,Equity : Tax Saving (ELSS),null
Sundaram LT Micro Cap Tax Adv Fund-Sr VI-Reg(G),Rohit Seksaria,EQ-ELSS,Unrated,38.4,1.39,Closed Ended,28-Sep-17,Nifty Smallcap 100,9.43,9.82,4.85,-1.67,8.9,40.2,88.23,5.56,-3.67,-,-,44,69,3624,-,11.15,87.22,Capital Goods,-,-,-,36.92,3.55,5.79,0.64,19.44,Equity : Tax Saving (ELSS),null
Sundaram LT Tax Adv Fund-Sr I-Reg(G),S. Bharath,EQ-ELSS,Unrated,17.3,1.42,Closed Ended,26-Mar-15,S&P BSE 500,17.31,18.24,10.37,-3.54,0.91,25.55,66.1,11.37,9.07,13.14,-,25,40,138399,73.28,16.97,9.06,Financials,-,-,-,12.3,2.96,4.71,0.85,18.45,Equity : Tax Saving (ELSS),null
Sundaram LT Tax Adv Fund-Sr II-Reg(G),S. Bharath,EQ-ELSS,Unrated,12.6,1.38,Closed Ended,21-Mar-16,S&P BSE 500,18.9,19.93,11.42,-3.68,0.9,24.52,65.21,12.4,9.5,13.49,-,20,37,137059,71.36,16.22,9.61,Financials,-,-,-,11.77,2.93,4.64,0.84,18.43,Equity : Tax Saving (ELSS),null
Sundaram LT Tax Adv Fund-Sr III-Reg(G),Rohit Seksaria,EQ-ELSS,Unrated,51.7,1.41,Closed Ended,28-Mar-18,S&P BSE 500,10.11,10.56,5.3,-2.48,8.09,38.19,80.78,6.88,0.15,-,-,41,69,4027,-,12.13,87.77,Capital Goods,-,-,-,33.31,3.39,5.57,0.63,19.2,Equity : Tax Saving (ELSS),null
Sundaram LT Tax Adv Fund-Sr IV-Reg(G),Rohit Seksaria,EQ-ELSS,Unrated,34.9,1.39,Closed Ended,29-Jun-18,S&P BSE 500,11.82,12.32,6.52,-2.86,7.46,38.43,78.47,7.54,-,-,-,40,67,4068,-,12.36,82.54,Capital Goods,-,-,-,33.11,3.46,5.65,0.6,18.31,Equity : Tax Saving (ELSS),null
Sundaram Medium Term Bond Fund(G),Dwijendra Srivastava,DT-MD,Unrated,81.3,2.15,Open Ended,18-Dec-97,CRISIL Medium Term Debt Index,57.87,58.13,54.14,1.11,-0.1,0.81,7,5.96,5.77,6.4,7.33,0,-,-,-,-,-,-,4.01,2.98,5.5,4.11,2.04,3.59,-,2.04,Debt : Medium Duration,Nil upto 25% of units and 1% for remaining units of or before 365D Nil after 365D
Sundaram Mid Cap Fund(G),S. Bharath,EQ-MID,2,6152.1,1.92,Open Ended,19-Jul-02,Nifty Midcap 100 - TRI,564.88,604.29,332.35,-4.7,4.2,31.03,66.46,9.22,2.98,10.76,14.05,63,64,21209,14.13,68.09,15.2,Financials,-,-,-,22.43,3.1,5.2,0.66,17.93,Equity : Mid Cap,Nil upto 25% of units and 1% for remaining units of or before 365D Nil after 365D
Sundaram Money Fund-Reg(G),Dwijendra Srivastava,DT-LIQ,3,3657.8,0.26,Open Ended,8-Dec-05,Crisil Liquid Fund Index,43.17,43.17,41.71,0.29,0.8,1.57,3.51,4.76,5.67,6.18,7.6,0,-,-,-,-,-,-,0.1,0.1,3.37,-0.38,-5.93,-5.76,-,0.06,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
Sundaram Money Market Fund-Reg(G),Siddharth Chaudhary,DT-MM,Unrated,99,0.33,Open Ended,26-Sep-18,CRISIL Money Market Index,11.69,11.69,11.2,0.33,0.84,1.67,4.5,5.76,-,-,-,0,-,-,-,-,-,-,0.4,0.4,3.75,1.71,5.75,14.67,-,0.3,Debt : Money Market,Nil
Sundaram Multi Cap Fund-Sr I-Reg(G),S. Bharath,EQ-MLC,Unrated,118.8,1.35,Closed Ended,28-Jun-18,S&P BSE 500,13.62,14.56,8.61,-4.43,-0.18,23.69,55.95,15.68,-,-,-,37,48,111788,66.47,21.74,11.28,Financials,-,-,-,8.22,2.67,4.37,0.8,18.18,Equity : Multi Cap,null
Sundaram Multi Cap Fund-Sr II-Reg(G),S. Bharath,EQ-MLC,Unrated,70,1.35,Closed Ended,25-Jul-18,S&P BSE 500,13.6,14.53,8.6,-4.44,-0.17,23.7,55.93,15.58,-,-,-,36,48,111398,66.42,21.74,11.41,Financials,-,-,-,8.22,2.67,4.37,0.8,18.17,Equity : Multi Cap,null
Sundaram Overnight Fund-Reg(G),Siddharth Chaudhary,DT-ON,Unrated,626,0.21,Open Ended,20-Mar-19,Nifty 1D Rate Index,1093.36,1093.36,1062.34,0.26,0.72,1.43,2.93,4.24,-,-,-,0,-,-,-,-,-,-,-,-,3.33,-0.76,-80.68,-13.14,-,0.01,Debt : Overnight,Nil
Sundaram Rural and Consumption Fund(G),S. Bharath,EQ-CONS,2,1336,2.26,Open Ended,12-May-06,NIFTY 500 - TRI,48.67,50.96,32.83,-3.33,-1.76,20.57,46.07,7.01,4.23,12.35,12.19,16,39,56240,52.14,33.93,13.37,FMCG,-,-,-,6.6,2.44,3.77,0.69,16.82,Equity : Thematic - Consumption,Nil upto 25% of units and 1% for remaining units of or before 365D Nil after 365D
Sundaram Select Focus(G),Rahul Baijal,EQ-LC,4,1217.7,2.28,Open Ended,30-Jul-02,NIFTY 50 - TRI,224.92,239.78,148.95,-3.94,-1.03,20.64,49.88,11.36,10.75,13.73,9.51,86,30,306237,91.42,5.49,-,Financials,-,-,-,1.56,2.42,3.97,0.86,18.4,Equity : Large Cap,Nil upto 25% of units and 1% for remaining units of or before 365D Nil after 365D
Sundaram Select Micro Cap-Series XI-Reg(G),S. Krishnakumar,EQ-SML,Unrated,95.9,1.39,Closed Ended,28-Dec-16,S&P BSE Small-Cap,10.33,10.33,6.42,2.1,14.16,32.96,14.65,1.75,-9.27,-,-,80,58,5044,5.22,9.07,58.58,Financials,-,-,-,3.25,0.56,0.73,0.63,25.57,Equity : Small Cap,null
Sundaram Select Micro Cap-Series XII-Reg(G),S. Krishnakumar,EQ-SML,Unrated,78.5,1.38,Closed Ended,8-Feb-17,S&P BSE Small-Cap,10.99,10.99,6.17,0.13,22.85,39.42,16.77,10.62,-4.37,-,-,80,2,-,-,0.09,0.5,Financials,-,-,-,1.18,0.63,0.83,0.62,26.46,Equity : Small Cap,null
Sundaram Select Micro Cap-Series XIV-Reg(G),Rohit Seksaria,EQ-SML,Unrated,148.5,1.34,Closed Ended,28-Apr-17,S&P BSE Small-Cap,11.07,11.55,5.49,-2.52,9.43,40.81,93.21,9.22,-1.3,-,-,50,73,4136,-,14.4,82.62,Capital Goods,-,-,-,39.89,3.74,6.26,0.64,19.21,Equity : Small Cap,null
Sundaram Select Micro Cap-Series XV-Reg(G),Rohit Seksaria,EQ-SML,Unrated,142.7,1.34,Closed Ended,31-May-17,S&P BSE Small-Cap,10.59,11.04,5.31,-2.36,9.31,40.14,90.43,7.73,-2.07,-,-,45,73,4132,-,14.28,82.64,Capital Goods,-,-,-,38.58,3.67,6.14,0.63,19.18,Equity : Small Cap,null
Sundaram Select Micro Cap-Series XVI-Reg(G),Rohit Seksaria,EQ-SML,Unrated,93.9,1.35,Closed Ended,30-Aug-17,S&P BSE Small-Cap,10.29,10.73,5,-1.52,10.64,42.64,95.35,9.51,-1.43,-,-,49,71,4352,-,14.06,82.61,Capital Goods,-,-,-,41.35,3.81,6.41,0.63,19.09,Equity : Small Cap,null
Sundaram Select Micro Cap-Series XVII-Reg(G),Rohit Seksaria,EQ-SML,Unrated,78.5,1.36,Closed Ended,13-Oct-17,S&P BSE Small-Cap,9.69,10.1,4.65,-1.31,10.94,42.44,96.12,9,-1.62,-,-,48,72,4225,-,14.09,82.57,Capital Goods,-,-,-,41.91,3.81,6.39,0.63,19.3,Equity : Small Cap,null
Sundaram Select Small Cap Series-V-Reg(G),Ratish Varier,EQ-SML,Unrated,110.8,1.31,Closed Ended,23-Jun-17,S&P BSE Small-Cap,12.96,13.65,7.58,-3.71,4.15,31.8,67.09,14.14,7.76,-,-,33,52,26116,24.66,60.3,11.74,Financials,-,-,-,18.75,2.95,4.74,0.74,18.83,Equity : Small Cap,null
Sundaram Select Small Cap Series-VI-Reg(G),Ratish Varier,EQ-SML,Unrated,48.6,1.35,Closed Ended,17-Jul-17,S&P BSE Small-Cap,12.67,13.35,7.4,-3.76,4.05,31.25,67.6,14.27,7.68,-,-,33,52,26030,24.19,59.77,11.85,Financials,-,-,-,18.82,2.96,4.78,0.74,18.86,Equity : Small Cap,null
Sundaram Services Fund-Reg(G),Rahul Baijal,EQ-THEM,Unrated,1320.3,2.19,Open Ended,21-Sep-18,S&P BSE 200,15.19,16.18,9.17,-5,1.16,27.02,60.95,16.8,-,-,-,36,49,59583,49.9,19.42,28.55,Financials,-,-,-,10.26,2.75,4.54,0.82,18.65,Equity : Thematic,Nil upto 25% of units and 1% for remaining units of or before 365D Nil after 365D
Sundaram Short Term Credit Risk Fund(G),Sandeep Agarwal,DT-CR,Unrated,116,1.43,Open Ended,30-Jul-02,CRISIL Ultra Short Term Debt Index,26.35,26.35,25.41,0.24,1.03,1.95,5.25,-0.56,1.86,3.79,-,0,-,-,-,-,-,-,1.21,0.94,3.6,2.49,2.2,5.21,-,1.14,Debt : Credit Risk,Nil
Sundaram Short Term Debt Fund(G),Dwijendra Srivastava,DT-SD,1,256.7,1.01,Open Ended,4-Sep-02,Crisil Short Term Bond Fund Index,32.44,32.44,29.96,0.65,0.63,1.67,8.39,0.93,2.84,4.45,7.13,0,-,-,-,-,-,-,1.64,1.28,4.23,5.37,3.52,6.63,-,1.54,Debt : Short Duration,Nil
Sundaram Small Cap Fund(G),Ratish Varier,EQ-SML,2,1248.4,2.28,Open Ended,15-Feb-05,Nifty Smallcap 100 - TRI,106.96,110.64,53.37,-1.18,9.58,36.24,90.63,12.77,0.73,10.04,12.72,55,64,5298,-,24.69,71.86,Financials,-,-,-,38.78,3.61,6.04,0.62,19.38,Equity : Small Cap,Nil upto 25% of units and 1% for remaining units of or before 365D Nil after 365D
Sundaram Smart NIFTY 100 Eq Weight Fund-Reg(G),S. Bharath,EQ-INDX,Unrated,27.5,0.94,Open Ended,12-Jan-17,NIFTY 100 Equal Weight Index - TRI,14.8,15.36,8.95,-1.66,2.6,31.57,62.71,9.99,6.69,-,-,65,100,92064,87.04,11.24,-,Financials,-,-,-,15.95,2.96,4.63,0.78,18.59,Equity : Index Funds,Nil
Sundaram Ultra Short Term Fund-Reg(G),Siddharth Chaudhary,DT-USD,Unrated,1096.1,1.51,Open Ended,24-Jun-19,CRISIL Ultra Short Term Debt Index,10.85,10.85,10.47,0.25,0.54,1.19,3.76,-,-,-,-,0,-,-,-,-,-,-,0.38,0.33,3.71,0.98,3.21,7.73,-,0.3,Debt : Ultra Short Duration,Nil
Sundaram Value Fund-III-Reg(G),S. Bharath,EQ-MLC,Unrated,44.8,1.43,Closed Ended,5-Feb-16,S&P BSE 500,20.73,20.96,13.12,2.05,17.55,27.65,17.46,14.83,8.02,15.68,-,32,42,-,-,-,-,-,-,-,-,-1.84,0.62,0.83,0.78,26.7,Equity : Multi Cap,null
Sundaram Value Fund-IX-Reg(G),S. Bharath,EQ-MLC,Unrated,142.4,1.34,Closed Ended,10-Nov-17,S&P BSE 500,12.92,14.08,8.02,-6.25,1.77,42.18,55.21,14.3,10.03,-,-,67,40,50417,55.7,20.27,18.93,Financials,-,-,-,14.11,2.52,4.01,0.71,19.72,Equity : Multi Cap,null
Sundaram Value Fund-VII-Reg(G),S. Bharath,EQ-SML,Unrated,32.9,1.34,Closed Ended,7-Mar-17,S&P BSE 500,11.12,11.69,5.44,-3.25,10.13,55.28,96.26,8.69,2.11,-,-,39,36,13885,29.43,17.8,49.24,Financials,-,-,-,34.55,3.43,5.57,0.81,21.91,Equity : Small Cap,null
Sundaram Value Fund-VIII-Reg(G),S. Bharath,EQ-MLC,Unrated,99.5,1.4,Closed Ended,19-May-17,S&P BSE 500,12.96,14.04,7.98,-5.61,1.66,40.34,56.33,5.18,6.26,-,-,55,32,67985,54.68,20.62,10.09,Financials,-,-,-,11.42,2.49,4.03,0.78,20.2,Equity : Multi Cap,null
Sundaram Value Fund-X-Reg(G),S. Bharath,EQ-MLC,Unrated,80.7,1.34,Closed Ended,23-Nov-17,S&P BSE 500,12.82,13.98,7.96,-6.27,1.67,42.03,55.06,14.11,9.86,-,-,68,40,50411,55.76,20.3,18.95,Financials,-,-,-,14.19,2.52,4.02,0.71,19.66,Equity : Multi Cap,null
Tata Arbitrage Fund-Reg(G),Sailesh Jain,HY-ARB,Unrated,4270.1,1.13,Open Ended,18-Dec-18,Nifty 50 Arbitrage Index,11.3,11.3,10.85,0.56,1.15,1.96,4.19,5.37,-,-,-,1660.23,110,97778,52.52,14.49,0.52,Financials,0.3,0.28,4.7,1.18,0.98,1.62,-,1.16,Hybrid : Arbitrage,0.25% on or before 30D
Tata Balanced Adv Fund-Reg(G),Rahul Singh (Tata),HY-DYN,Unrated,2259.9,2.13,Open Ended,28-Jan-19,CRISIL Hybrid 35+65 - Aggressive Index,13.02,13.24,9.69,-1.28,1.5,13.49,33.56,11.96,-,-,-,135.67,70,130943,52.59,9.6,3.17,Financials,0.91,0.75,3.04,29.89,2.99,4.8,-,10.05,Hybrid : Dynamic Asset Allocation,Nil upto 12% of original cost of investments and 1% for more than 12% on or before 365D Nil after 365D
Tata Banking & Financial Services Fund-Reg(G),Sonam Udasi,EQ-FIN,3,660.2,2.56,Open Ended,28-Dec-15,Nifty Financial Services - TRI,22.44,25.45,13.7,-8.08,-2.73,28.03,52.44,8.44,9.8,17.01,-,48.89,16,236312,90.06,4.72,4.21,Financials,-,-,-,-11.72,1.78,3.03,1.2,27.18,Equity : Sectoral - Financial Services,0.25% on or before 30D
Tata Banking & PSU Debt Fund-Reg(G),Amit Somani,DT-B&PSU,Unrated,477.6,0.73,Open Ended,10-Oct-19,CRISIL Banking and PSU Debt Index,11.23,11.29,10.24,0.79,-0.18,1.73,9.99,-,-,-,-,0,-,-,-,-,-,-,3.49,2.55,5.54,6.98,3.09,5.64,-,2.27,Debt : Banking & PSU,Nil
Tata Digital India Fund-Reg(G),Meeta Shetty,EQ-TECH,Unrated,1161,2.41,Open Ended,28-Dec-15,S&P BSE Information Technology - TRI,26.26,27.62,12.11,1.46,2.54,23,114.3,33.57,27.25,20.55,-,30.74,28,114671,60.16,20.32,13.16,Technology,-,-,-,53.17,3.66,7.18,0.59,22.52,Equity : Sectoral - Technology,0.25% on or before 30D
Tata Dynamic Bond Fund-Reg(G),Akhil Mittal,DT-DYN,2,230.9,0.74,Open Ended,3-Sep-03,Crisil Composite Bond Fund Index,32.19,32.2,30,0.84,0.44,1.85,7.39,7.26,6.86,6.78,8.07,0,-,-,-,-,-,-,2.71,2.06,5.56,4.41,1.73,3.01,-,2.6,Debt : Dynamic Bond,Nil
